state,pos_one,pos_two,pos_three,city_one,city_two,city_three
ANTIOQUIA,736,387,254,SANTA ROSA DE OSOS,SAN PEDRO,DON MATIAS
BOYACA,39,37,33,ARCABUCO,SANTA ROSA DE VITERBO,SAN MIGUEL DE SEMA
CALDAS,26,20,9,VILLAMARIA,PALESTINA,ANSERMA
CAQUETA,28,12,8,EL DONCELLO,FLORENCIA,SAN VICENTE DEL CAGUAN
CORDOBA,51,42,36,TIERRALTA,MONTELIBANO,AYAPEL
CUNDINAMARCA,168,99,94,ZIPAQUIRA,GUATAVITA,COGUA
META,96,36,2,CUMARAL,VILLAVICENCIO,PUERTO LOPEZ
NARINO,379,260,56,CUMBAL,GUACHUCAL,PASTO
SANTANDER,41,26,14,PIEDECUESTA,BARRANCABERMEJA,PUERTO WILCHES
TOLIMA,77,48,43,SUAREZ,FLANDES,CARMEN DE APICALA
VALLE DEL CAUCA,15,14,13,ZARZAL,CARTAGO,OBANDO

